epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_precision,train_recall,train_f1_score,train_roc_auc,val_precision,val_recall,val_f1_score,val_roc_auc,test_precision,test_recall,test_f1_score,test_roc_auc,epoch_seconds
1,1.178507687553527,1.0900493674808078,1.1028849999109904,0.4581349206349206,0.5444444444444444,0.5157407407407407,0.44428222395456773,0.4581349206349206,0.4447343165751822,0.7154888930880995,0.4302626303386801,0.5444444444444444,0.4726941319782483,0.7824222679469593,0.4157006702206712,0.5157407407407407,0.45094566425093646,0.7757841792409693,45.8174166999961
2,1.0730862271218073,1.009359159734514,1.0225985950893826,0.5386904761904762,0.6,0.5824074074074074,0.5390319478748584,0.5386904761904762,0.5357736989035153,0.7803246514655244,0.6565250962088044,0.6,0.5880541368508694,0.8399691358024692,0.6507948651795401,0.5824074074074074,0.5761808944129478,0.8300497256515776,46.12586649999139
3,0.9600736672916109,0.914226049626315,0.9456031309233771,0.6055555555555555,0.6194444444444445,0.6,0.6071782136493774,0.6055555555555555,0.6057957088364422,0.8334182098765432,0.6848135695819224,0.6194444444444445,0.594713641303247,0.8850548696844992,0.6844750403119708,0.6,0.5805962680331409,0.8701520347508,46.14081460000307
4,0.8904236573075491,0.7943411074302814,0.8276360167397393,0.6410714285714286,0.6722222222222223,0.6620370370370371,0.639581916365072,0.6410714285714286,0.6382515611233609,0.85490068867053,0.6920115112721558,0.6722222222222223,0.6564767742051957,0.8908733424782809,0.6865452753975839,0.6620370370370371,0.6474578779066564,0.8806675811614083,46.19309749999957
5,0.8320980104189071,0.7390955086107607,0.7656514153436378,0.6638888888888889,0.7046296296296296,0.700925925925926,0.6608068163410441,0.6638888888888889,0.6596018945317463,0.8727941022087847,0.700508636939526,0.7046296296296296,0.6946163359528931,0.9041192272519432,0.6974066383484406,0.700925925925926,0.6942918142389191,0.8959476451760403,45.92551239999011
6,0.7900171485212114,0.704383369507613,0.7332775745126936,0.6845238095238095,0.6990740740740741,0.7027777777777777,0.6806562535103133,0.6845238095238095,0.6796923318486143,0.882695420760897,0.7003984229254958,0.6990740740740741,0.6896817195478673,0.9091026520347507,0.7093074300121583,0.7027777777777777,0.695693024717215,0.9015363511659809,46.04875020000327
7,0.7427892060506911,0.666273546218872,0.7094326619748716,0.7095238095238096,0.7342592592592593,0.7314814814814815,0.7045967103211594,0.7095238095238096,0.7042540877568795,0.8953885319559922,0.7329175401382486,0.7342592592592593,0.7224152195637796,0.9209362139917695,0.7334022608216156,0.7314814814814815,0.7215561907580368,0.9103120713305898,46.21026319998782
8,0.7149015596934727,0.6695759278756601,0.6844564846268406,0.7281746031746031,0.7324074074074074,0.7490740740740741,0.72315941589716,0.7281746031746031,0.7232690783506377,0.9018268665490887,0.752680524771656,0.7324074074074074,0.7340551725858404,0.9202091906721537,0.7628515364983081,0.7490740740740741,0.7481096069832951,0.9178589391860998,46.13326480000978
9,0.6956773200678447,0.7329020579655965,0.7307275855982746,0.733531746031746,0.6981481481481482,0.7185185185185186,0.7287299383631015,0.733531746031746,0.7288653052525426,0.9065923931300917,0.7301513570573498,0.6981481481481482,0.6981244290322399,0.9119570187471423,0.7399700866533009,0.7185185185185186,0.7170510525493633,0.9157144490169182,46.03719909999927
10,0.6600346977748568,0.6739417796885526,0.677890823284785,0.7513888888888889,0.7425925925925926,0.7601851851851852,0.7474175800406906,0.7513888888888889,0.7473636217010318,0.9135260508524398,0.7782078917838313,0.7425925925925926,0.7445675942937696,0.9273719707361683,0.7812674212119316,0.7601851851851852,0.7598764582140396,0.930001143118427,45.93516799999634
11,0.6221276831059229,0.5537005768881904,0.5678013567571287,0.7638888888888888,0.7842592592592592,0.7972222222222223,0.7602406665944289,0.7638888888888888,0.7601494512004691,0.9238074242042497,0.7845463629875554,0.7842592592592592,0.7816320750294146,0.9401463191586648,0.7967697624858819,0.7972222222222223,0.7954253704926911,0.9391586648376772,46.157100299999
12,0.5902590312655009,0.5780840785415085,0.5644402184972057,0.775,0.7861111111111111,0.799074074074074,0.7723928974162626,0.775,0.7722390486350926,0.9294999265138153,0.7984945001387126,0.7861111111111111,0.7863751265942044,0.9363820301783264,0.8088484496669482,0.799074074074074,0.7985225036997489,0.9411259716506631,46.021508499994525
13,0.6058037257856793,0.5563268080905631,0.5655587183104621,0.7716269841269842,0.787962962962963,0.7842592592592592,0.7697019461787803,0.7716269841269842,0.7689286048025349,0.9266077727387252,0.8005890271201963,0.787962962962963,0.7848296895417785,0.9416003657978967,0.802300811850495,0.7842592592592592,0.7831805906082149,0.9418644261545496,47.55143140000291
14,0.5891735544753454,0.6451383842362298,0.6236755688985188,0.7783730158730159,0.7481481481481481,0.7648148148148148,0.7754612260683922,0.7783730158730159,0.7753324987557214,0.9295018161585622,0.7901082510539046,0.7481481481481481,0.7506698332456081,0.9363625971650664,0.8003388887715848,0.7648148148148148,0.7659184219251525,0.9426200274348423,46.475605900006485
15,0.5588822264519949,0.5218760095260762,0.5166248336986259,0.7896825396825397,0.8,0.8101851851851852,0.7862631126287368,0.7896825396825397,0.786381371401853,0.9372170256991686,0.811163798256413,0.8,0.7974559482719366,0.9461659807956104,0.8199895089813001,0.8101851851851852,0.8080674987476625,0.9493049839963419,46.466082600003574
