model,split,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,loss_mean,loss_std
baseline_cnn,test,0.8157407407407408,0.015576485038204387,0.8250448180364008,0.019621140290173568,0.8157407407407408,0.015576485038204387,0.8145790255429186,0.01772237389411618,0.9539650967840267,0.004683529227395565,0.4895911674440643,0.030933730630020875
baseline_cnn,validation,0.8061728395061728,0.007071876072462686,0.8161230868003315,0.00900627997396599,0.8061728395061728,0.007071876072462686,0.8050559324227283,0.008352300867167598,0.952097241274196,0.007313332963626736,0.49500363331150127,0.031768876860144214
tumordetnet,test,0.8916666666666666,0.020683618429341372,0.8939034214574287,0.019341869334124805,0.8916666666666666,0.020683618429341372,0.8906565651670357,0.021310149509256797,0.9833300944977901,0.003594080786796285,0.30235649504595336,0.04332531566838119
tumordetnet,validation,0.8895061728395062,0.01786661189926702,0.8926324242057241,0.015363122052519053,0.8895061728395062,0.01786661189926702,0.8883591759421257,0.01916742777077893,0.9825819234872734,0.0017473088970113924,0.3139526355057311,0.03914608787205134
