epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_precision,train_recall,train_f1_score,train_roc_auc,val_precision,val_recall,val_f1_score,val_roc_auc,test_precision,test_recall,test_f1_score,test_roc_auc,epoch_seconds
1,0.8721626413246942,1.2876982701045496,1.298356100199399,0.6446428571428572,0.4935185185185185,0.49444444444444446,0.6392881306121968,0.6446428571428572,0.6405991456025014,0.8611668556311413,0.6983353627600203,0.4935185185185185,0.4412274944186878,0.8350720164609053,0.6774813835785141,0.49444444444444446,0.43984661199356734,0.8400000000000001,51.79200899999705
2,0.7539942252257513,0.6485788468961362,0.6158415714899699,0.7021825396825396,0.7583333333333333,0.7453703703703703,0.6968527588684189,0.7021825396825396,0.6979133290943257,0.8932768014613253,0.7598454084372454,0.7583333333333333,0.7573592063561035,0.925297210791038,0.7465395140021116,0.7453703703703703,0.7433875056123135,0.9295096021947874,51.485903699998744
3,0.6749947634954301,3.102686484152865,2.950818589826425,0.7386904761904762,0.3925925925925926,0.40370370370370373,0.7348003040151652,0.7386904761904762,0.735230095057749,0.9142298122952885,0.5816296030607364,0.3925925925925926,0.353211573522835,0.8294015775034295,0.6105333042307832,0.40370370370370373,0.3639602460787726,0.828967192501143,51.55458299999009
4,0.5853331840700573,4.013956400342512,3.8995254715649126,0.7833333333333333,0.39166666666666666,0.387037037037037,0.7824953801192202,0.7833333333333333,0.7814211442432465,0.9344017437221802,0.5697920445048708,0.39166666666666666,0.32904798838708943,0.8459773662551442,0.543715204265663,0.387037037037037,0.32287623955614275,0.8367558299039781,51.56438999999955
5,0.53535214511175,1.6195479812721412,1.626268611130891,0.8005952380952381,0.5351851851851852,0.5407407407407407,0.8010963209720213,0.8005952380952381,0.7990513027190986,0.9438557413706222,0.7002540650406504,0.5351851851851852,0.45449304878539304,0.8685791037951531,0.6963060212147104,0.5407407407407407,0.4604083464477468,0.8660653863740284,51.55969989999721
6,0.4497238744109396,0.5702250731764016,0.5674729510589882,0.835515873015873,0.8037037037037037,0.7851851851851852,0.8377150356349465,0.835515873015873,0.8350007323631365,0.9585692239858906,0.825941492715877,0.8037037037037037,0.7960596197736315,0.9521810699588478,0.8119186884133089,0.7851851851851852,0.7755568556915604,0.9558721993598538,51.62880670001323
7,0.42785669082687017,0.41318025252333396,0.4376417742283256,0.8446428571428571,0.8546296296296296,0.8361111111111111,0.8474977295399939,0.8446428571428571,0.8441521768383743,0.9614285189384396,0.8727031095159861,0.8546296296296296,0.8565409273513065,0.968393918609968,0.8641632524909173,0.8361111111111111,0.8374796710729296,0.9682075903063557,51.32905149999715
8,0.41507520730060243,0.5100144357592972,0.5215901446287279,0.8494047619047619,0.8166666666666667,0.799074074074074,0.8536680280841541,0.8494047619047619,0.8495322130206951,0.9631938145628622,0.8410228487535428,0.8166666666666667,0.8153312579092756,0.9568347050754458,0.8330696714961732,0.799074074074074,0.7955585202851753,0.9576863283036122,51.39402110000083
9,0.3988991610351063,0.3411259838276439,0.31840967522175223,0.8517857142857143,0.875,0.8768518518518519,0.85431651504168,0.8517857142857143,0.8516173337248859,0.9656145544637607,0.8775809228721339,0.875,0.8753353848181333,0.9736476909007773,0.8773038105197731,0.8768518518518519,0.8765045290884228,0.9786511202560584,51.53486739999789
10,0.38868970494894756,0.49223383063519444,0.44819316237613005,0.8569444444444444,0.8305555555555556,0.837037037037037,0.8602373575100186,0.8569444444444444,0.8570839944794275,0.9669682224741748,0.840860994308331,0.8305555555555556,0.8257895381514966,0.960797896662094,0.8434968456997468,0.837037037037037,0.833032787985604,0.9664620484682214,51.814197100000456
11,0.3857658680705797,0.4675206637078965,0.43773950078283197,0.8601190476190477,0.8398148148148148,0.8324074074074074,0.8635714795431944,0.8601190476190477,0.8602355858356379,0.9679706265222137,0.8521096539484835,0.8398148148148148,0.8362538884862074,0.967602880658436,0.8432242355718275,0.8324074074074074,0.829264712892286,0.9717695473251029,51.63073230000737
12,0.34690081738526857,0.5186195305031207,0.5234423562159969,0.8751984126984127,0.8157407407407408,0.8074074074074075,0.8773509516653195,0.8751984126984127,0.87530128725218,0.9737043335852859,0.8473279236622058,0.8157407407407408,0.8176061599234182,0.9614540466392318,0.8418064370658117,0.8074074074074075,0.8085285480381862,0.9630372656607226,51.55282139999326
13,0.31227167156480606,0.30810196333461337,0.2870242537171752,0.8884920634920634,0.8916666666666667,0.8925925925925926,0.88991078728169,0.8884920634920634,0.8883042973081919,0.9781910850760056,0.9031049828425274,0.8916666666666667,0.8927272537443997,0.9778680841335162,0.9058879330654535,0.8925925925925926,0.8923056219392115,0.9817935528120714,51.8012272999913
14,0.30337101477715706,0.29265070534828636,0.2962793306551046,0.8926587301587302,0.8925925925925926,0.8953703703703704,0.8946196619770852,0.8926587301587302,0.8927216165316709,0.9795661165700847,0.8962314741169354,0.8925925925925926,0.8927054061669719,0.9821502057613168,0.9010256158167872,0.8953703703703704,0.8956792265117439,0.9847130772748056,51.53835339999932
15,0.288316498732283,0.27545599856034475,0.25755480988710017,0.8968253968253969,0.9037037037037037,0.9148148148148149,0.8978748491059991,0.8968253968253969,0.8965940463951505,0.9816366423112455,0.9038837761336415,0.9037037037037037,0.903661202767041,0.9842512574302699,0.9151553366875652,0.9148148148148149,0.9143296981138646,0.9872753772290811,51.64980949999881
