epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_precision,train_recall,train_f1_score,train_roc_auc,val_precision,val_recall,val_f1_score,val_roc_auc,test_precision,test_recall,test_f1_score,test_roc_auc,epoch_seconds
1,1.2141814390818277,1.1138450070663735,1.08603472577201,0.4380952380952381,0.4981481481481482,0.5157407407407407,0.42715240537105537,0.4380952380952381,0.42387069418112366,0.6885177311665407,0.4272895294729531,0.4981481481481482,0.43924460445996755,0.7770924782807499,0.44540608468839654,0.5157407407407407,0.45579400882642596,0.7903898033836305,45.324109499997576
2,1.1318580423082625,1.1210675062956634,1.0990548270720022,0.5071428571428571,0.5,0.5185185185185185,0.5009147372666142,0.5071428571428571,0.49699271890335794,0.7485691977408248,0.6691914384393829,0.5,0.45032477542497584,0.793392775491541,0.7345830484621776,0.5185185185185185,0.46926600918994155,0.8054903978052126,46.00041579999379
3,1.0404933498019264,0.8888764580090841,0.8528237435552809,0.5646825396825397,0.6407407407407407,0.687037037037037,0.570496907537617,0.5646825396825397,0.5636740173137267,0.8004015495086922,0.6637590524795676,0.6407407407407407,0.6321204936014375,0.8805315500685872,0.7105342656583348,0.687037037037037,0.6812414687475329,0.8937654320987655,45.1069409000047
4,0.8811749277606843,0.7683073127711261,0.7465717770435192,0.6549603174603175,0.6777777777777778,0.7092592592592593,0.6550269159450363,0.6549603174603175,0.6529689339317006,0.8594946250104981,0.6982131561963669,0.6777777777777778,0.6745062632946359,0.9018930041152263,0.7282556120959098,0.7092592592592593,0.7076777607937481,0.9059899405578418,45.85439100000076
5,0.8009425835950034,0.6888151084935223,0.6773060999534748,0.6767857142857143,0.7203703703703703,0.7305555555555555,0.6732175865112412,0.6767857142857143,0.6728297875835184,0.8798644704795497,0.7243000629829776,0.7203703703703703,0.7125824930433609,0.9124748513946046,0.7335003818729937,0.7305555555555555,0.7236077169359098,0.9166986739826246,45.90737000000081
6,0.7530812473524184,0.6732138669049298,0.6619383337321105,0.7,0.7268518518518519,0.7462962962962963,0.6963881762966821,0.7,0.6959701474163134,0.8928589275216261,0.7355010821838504,0.7268518518518519,0.7199571330595591,0.9181984453589392,0.7545630097769135,0.7462962962962963,0.7418602528049251,0.9210379515317788,46.076800099996035
7,0.730442565301108,0.7003864588560882,0.6954283469253116,0.7162698412698413,0.7074074074074074,0.7240740740740741,0.7123995436474574,0.7162698412698413,0.7120484556626425,0.8971145649617871,0.7322638745408662,0.7074074074074074,0.7020206809996726,0.9173811156835847,0.74920051649264,0.7240740740740741,0.7198418570987923,0.9164917695473251,46.066281200008234
8,0.6955214698636343,0.6126728907779411,0.604084888211003,0.7257936507936508,0.762962962962963,0.7638888888888888,0.7213369655221141,0.7257936507936508,0.722017848490663,0.9067435384647686,0.7680133430954648,0.762962962962963,0.7549340266947391,0.9306698673982625,0.7739864729837858,0.7638888888888888,0.7577979474776364,0.9331390032007315,45.982073099992704
9,0.6761214841925909,0.6552803664295762,0.6515597153592992,0.739484126984127,0.7425925925925926,0.7657407407407407,0.7360275633814487,0.739484126984127,0.7361080150481901,0.9108582661459647,0.7771431989168266,0.7425925925925926,0.7490659474569754,0.9390363511659809,0.793554882093451,0.7657407407407407,0.7705612897972083,0.940844764517604,45.92346560000442
10,0.636917659593007,0.6546024109202403,0.6416807197862201,0.7658730158730159,0.7583333333333333,0.7694444444444445,0.7640166897095427,0.7658730158730159,0.7635975333309524,0.9210701950533301,0.7746260741799521,0.7583333333333333,0.7561446247439635,0.9360528120713306,0.7856309229460278,0.7694444444444445,0.7668741830063291,0.9415855052583448,45.954680399998324
11,0.6098314793810012,0.5425080504682329,0.5306078237515909,0.7700396825396826,0.7962962962962963,0.8083333333333333,0.7682421093730771,0.7700396825396826,0.7675387499867811,0.9271551398337113,0.8083806255829971,0.7962962962962963,0.7953275882485451,0.9463363054412437,0.8208138240439504,0.8083333333333333,0.8080603657276122,0.9479160951074531,45.25231770001119
12,0.5891357034917861,0.5464081154929267,0.5267189905599311,0.7795634920634921,0.8055555555555556,0.8009259259259259,0.778552654287252,0.7795634920634921,0.77747517293749,0.9316679789199631,0.8092829483850394,0.8055555555555556,0.7993153924081056,0.9481127114769089,0.8019263578433836,0.8009259259259259,0.7964488551612293,0.9528120713305898,46.11911089999194
13,0.5617752662726812,0.4767385682574025,0.47540147723975007,0.7896825396825397,0.8148148148148148,0.825925925925926,0.7898463423063016,0.7896825396825397,0.787960215986109,0.9385354990761736,0.8189732510188925,0.8148148148148148,0.8137361092817113,0.9581893004115226,0.8330267745908819,0.825925925925926,0.8264083258617624,0.955809327846365,46.12520810001297
14,0.5255309091673956,0.4599418103143021,0.45585599221565104,0.8051587301587302,0.8138888888888889,0.8333333333333334,0.805015881656067,0.8051587301587302,0.8036706103587892,0.9452665973796925,0.826518991036635,0.8138888888888889,0.813998016529241,0.9602686328303613,0.8466989472536249,0.8333333333333334,0.8346360552779049,0.9586716963877459,45.93519459999516
15,0.5142508967528268,0.47636008141217406,0.483126617692135,0.8067460317460318,0.8111111111111111,0.8212962962962963,0.8080430589917571,0.8067460317460318,0.8054833602094207,0.9471533814142942,0.8157877971807048,0.8111111111111111,0.8076984426861457,0.9594993141289436,0.8300087443438318,0.8212962962962963,0.8195120737281759,0.9565454961133975,46.016657100000884
