model,metric,primary_test,secondary_test,delta_secondary_minus_primary
tumordetnet,accuracy,0.8972222222222223,0.8430379746835444,-0.0541842475386779
tumordetnet,precision,0.9017764741948949,0.8623266447112728,-0.03944982948362208
tumordetnet,recall,0.8972222222222223,0.8430379746835444,-0.0541842475386779
tumordetnet,f1_score,0.8968646945508166,0.8466389860491865,-0.050225708501630106
tumordetnet,roc_auc,0.9838054412437128,0.9635046175721128,-0.02030082367160002
tumordetnet,loss,0.29674305463278733,0.4494984329147618,0.1527553782819745
