model,split,accuracy,precision,recall,f1_score,roc_auc,loss
baseline_cnn,validation_metrics,0.8138888888888889,0.826518991036635,0.8138888888888889,0.813998016529241,0.9602686328303613,0.4599418103143021
baseline_cnn,test_metrics,0.8333333333333334,0.8466989472536249,0.8333333333333334,0.8346360552779049,0.9586716963877459,0.45585599221565104
tumordetnet,validation_metrics,0.9148148148148149,0.9182820118869741,0.9148148148148149,0.9148187955138993,0.9854000914494742,0.27998157660304396
tumordetnet,test_metrics,0.8972222222222223,0.9017764741948949,0.8972222222222223,0.8968646945508166,0.9838054412437128,0.29674305463278733
